
Standard & Poors 500 Index,Last: 4173.4199,Change:  38.4799
"Date: April 21, 2021, 7:32 PM EDT",Bid: 4123.8599,Ask: 4212.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon May 03 2021,SPXW210503C04160000,41.2,10.15,40.8,41.4,38,0.1343,0.5294,0.0039,317,4160.00,SPXW210503P04160000,34.3,-19.85,34.7,35.1,101,0.118,-0.4678,0.0045,331
Mon May 03 2021,SPXW210503C04165000,39.46,10.91,37.8,38.4,64,0.1323,0.5098,0.004,142,4165.00,SPXW210503P04165000,35.75,-20.9,36.7,37,26,0.1162,-0.4901,0.0045,33
Mon May 03 2021,SPXW210503C04170000,35.73,9.53,34.9,35.3,37,0.1305,0.4896,0.004,140,4170.00,SPXW210503P04170000,37.23,-22.07,38.8,39.3,8,0.1144,-0.5131,0.0046,467
Mon May 03 2021,SPXW210503C04175000,31.96,8.06,32.2,32.5,513,0.1287,0.4689,0.0041,1251,4175.00,SPXW210503P04175000,38.5,-23.55,41,41.5,19,0.1125,-0.5368,0.0047,169
Mon May 03 2021,SPXW210503C04180000,29.23,7.43,29.5,29.9,44,0.1268,0.4477,0.0041,92,4180.00,SPXW210503P04180000,41.42,-23.48,43.3,43.8,1,0.1109,-0.561,0.0047,38
Mon May 03 2021,SPXW210503C04185000,22.58,2.78,27,27.3,24,0.1253,0.4262,0.0041,39,4185.00,SPXW210503P04185000,44.66,0,45.8,46.3,0,0.1089,-0.586,0.0047,31
Wed May 05 2021,SPXW210505C04160000,46.06,10.56,45.7,46.1,95,0.1387,0.5274,0.0035,314,4160.00,SPXW210505P04160000,36.97,-21.53,39.4,39.9,104,0.1233,-0.4704,0.004,95
Wed May 05 2021,SPXW210505C04165000,45.82,12.92,42.7,43.1,26,0.1371,0.5098,0.0036,441,4165.00,SPXW210505P04165000,43.3,-17.65,41.4,41.9,23,0.1216,-0.4902,0.004,92
Wed May 05 2021,SPXW210505C04170000,39.7,9.2,39.7,40.2,22,0.1351,0.4917,0.0036,85,4170.00,SPXW210505P04170000,43.73,-19.72,43.4,43.9,355,0.1192,-0.5107,0.0041,152
Wed May 05 2021,SPXW210505C04175000,39.78,11.68,36.9,37.3,148,0.1335,0.4733,0.0037,342,4175.00,SPXW210505P04175000,42.52,-23.58,45.6,46.1,34,0.1182,-0.5314,0.0041,53
